freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,values
A,0-9,C10-S951_X_K,E_AI_AMOWN,PC_ENT_IUSE,PT,2024,0.52
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT,ES,2021,0.35
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT,ES,2023,0.49
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT,ES,2024,0.96
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT,ES,2025,1.1
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT,PT,2021,0.37
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT,PT,2023,0.36
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT,PT,2024,0.48
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_AI_TANY,ES,2021,10.26
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_AI_TANY,ES,2023,10.95
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_AI_TANY,ES,2024,16.87
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_AI_TANY,ES,2025,10.93
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_AI_TANY,PT,2021,10.14
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_AI_TANY,PT,2023,14.94
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_AI_TANY,PT,2024,11.98
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_IUSE,ES,2021,0.43
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_IUSE,ES,2023,0.59
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_IUSE,ES,2024,1.18
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_IUSE,ES,2025,1.4
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_IUSE,PT,2021,0.44
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_IUSE,PT,2023,0.41
A,0-9,C10-S951_X_K,E_AI_AOS,PC_ENT_IUSE,PT,2024,0.56
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT,ES,2021,1.09
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT,ES,2023,1.5
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT,ES,2024,2.2
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT,ES,2025,4.31
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT,PT,2021,2.47
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT,PT,2023,1.66
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT,PT,2024,3.15
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_AI_TANY,ES,2021,31.95
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_AI_TANY,ES,2023,33.3
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_AI_TANY,ES,2024,38.42
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_AI_TANY,ES,2025,42.72
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_AI_TANY,PT,2021,67.32
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_AI_TANY,PT,2023,68.69
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_AI_TANY,PT,2024,78.15
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_IUSE,ES,2021,1.34
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_IUSE,ES,2023,1.8
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_IUSE,ES,2024,2.69
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_IUSE,ES,2025,5.46
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_IUSE,PT,2021,2.92
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_IUSE,PT,2023,1.9
A,0-9,C10-S951_X_K,E_AI_ARDY,PC_ENT_IUSE,PT,2024,3.63
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,ES,2021,0.84
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,ES,2023,1.11
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,ES,2024,1.64
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,ES,2025,2.43
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,PT,2021,1.07
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,PT,2023,1.53
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,PT,2024,2.98
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,ES,2021,52.22
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,ES,2023,59.42
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,ES,2024,56.62
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,ES,2025,51.98
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,PT,2021,48.48
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,PT,2023,52.3
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,PT,2024,56.15
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,ES,2021,1.08
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,ES,2023,1.41
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,ES,2024,2.16
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,ES,2025,3.54
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,PT,2021,1.32
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,PT,2023,1.8
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,PT,2024,3.6
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,ES,2021,1.03
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,ES,2023,1.33
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,ES,2024,2.01
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,ES,2025,3.09
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,PT,2021,1.26
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,PT,2023,1.75
A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,PT,2024,3.43
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT,ES,2021,1.24
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT,ES,2023,1.29
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT,ES,2024,1.39
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT,ES,2025,2.32
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT,PT,2021,1.89
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT,PT,2023,2.06
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT,PT,2024,3.2
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_EC,ES,2021,76.64
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_EC,ES,2023,68.9
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_EC,ES,2024,48.11
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_EC,ES,2025,49.6
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_EC,PT,2021,86.18
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_EC,PT,2023,70.29
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_EC,PT,2024,60.44
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_TX,ES,2021,1.58
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_TX,ES,2023,1.64
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_TX,ES,2024,1.83
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_TX,ES,2025,3.38
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_TX,PT,2021,2.35
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_TX,PT,2023,2.41
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_TX,PT,2024,3.88
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_IUSE,ES,2021,1.52
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_IUSE,ES,2023,1.55
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_IUSE,ES,2024,1.7
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_IUSE,ES,2025,2.94
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_IUSE,PT,2021,2.25
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_IUSE,PT,2023,2.35
A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT_IUSE,PT,2024,3.7
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT,ES,2021,0.77
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT,ES,2023,0.96
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT,ES,2024,1.21
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT,ES,2025,2.57
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT,PT,2021,1.2
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT,PT,2023,1.57
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT,PT,2024,2.54
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,ES,2021,47.94
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,ES,2023,51.15
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,ES,2024,41.95
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,ES,2025,54.88
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,PT,2021,54.61
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,PT,2023,53.57
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,PT,2024,47.93
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,ES,2021,0.99
